language_name,genre,service,country,mobile_operator,usage_category,number_of_units,duration
afrikaans,pop,music on demand,chad,airtel,int,2,9
arabic,inspirational,music on demand,zambia,airtel,ramadanc,3,181
arabic,islamic,music on demand,chad,airtel,islam,61,2102
arabic,islamic,music on demand,chad,airtel,quran,11,179
arabic,world,music on demand,zambia,airtel,ramadanc,3,24
bemba,gospel,music on demand,zambia,airtel,top,144,6289
bemba,urban,music on demand,zambia,airtel,top,118,10647
bemba,urban local,music on demand,zambia,airtel,fresh,199,8578
bemba,urban local,music on demand,zambia,airtel,top,1696,117900
"chichewa, chewa, nyanja",afro pop,music on demand,chad,airtel,gospel,11,105
"chichewa, chewa, nyanja",gospel,music on demand,zambia,airtel,gospel,6,39
"chichewa, chewa, nyanja",gospel,music on demand,zambia,airtel,zambia,582,16324
"chichewa, chewa, nyanja",hip-hop,music on demand,zambia,airtel,fresh,665,23347
"chichewa, chewa, nyanja",hip-hop,music on demand,zambia,airtel,ruffkid,35,2438
"chichewa, chewa, nyanja",hip-hop,music on demand,zambia,airtel,slapd,148,11895
"chichewa, chewa, nyanja",hip-hop,music on demand,zambia,airtel,top,2551,123534
"chichewa, chewa, nyanja",hip-hop,music on demand,zambia,airtel,zambia,1548,33673
"chichewa, chewa, nyanja",r&b,music on demand,zambia,airtel,zambia,33,839
"chichewa, chewa, nyanja",urban,music on demand,zambia,airtel,top,620,45247
"chichewa, chewa, nyanja",urban,music on demand,zambia,airtel,zambia,64,3257
"chichewa, chewa, nyanja",urban local,music on demand,zambia,airtel,afunica,18,1545
"chichewa, chewa, nyanja",urban local,music on demand,zambia,airtel,dalisoul,157,11201
"chichewa, chewa, nyanja",urban local,music on demand,zambia,airtel,fresh,2420,90701
"chichewa, chewa, nyanja",urban local,music on demand,zambia,airtel,jk,22,758
"chichewa, chewa, nyanja",urban local,music on demand,zambia,airtel,mcwabwino,29,381
"chichewa, chewa, nyanja",urban local,music on demand,zambia,airtel,ogafamily,67,6614
"chichewa, chewa, nyanja",urban local,music on demand,zambia,airtel,top,7953,456526
"chichewa, chewa, nyanja",urban local,music on demand,zambia,airtel,zambia,3872,115092
"chichewa, chewa, nyanja",zambian music,music on demand,zambia,airtel,mcwabwino,1,1
"chichewa, chewa, nyanja",zambian music,music on demand,zambia,airtel,runnel,55,7112
"chichewa, chewa, nyanja",zambian music,music on demand,zambia,airtel,zambia,422,12523
english,afro pop,music on demand,chad,airtel,african,5,104
english,afro pop,music on demand,chad,airtel,gospel,18,274
english,afro pop,music on demand,chad,airtel,top,57,2018
english,afro-beat,music on demand,chad,airtel,gospel,10,602
english,afro-beat,music on demand,chad,airtel,na,6,620
english,afro-beat,music on demand,chad,airtel,top,192,11347
english,alternative,music on demand,chad,airtel,int,2,65
english,alternative,music on demand,zambia,airtel,int,30,738
english,ambient-devotional or spiritual,music on demand,chad,airtel,int,3,18
english,beauty tips,voice alert,zambia,airtel,beauty,206,6386
english,believe it or not,voice alert,zambia,airtel,bin,729,27702
english,bemba proverbs,voice alert,zambia,airtel,bp,13588,217408
english,christian preaching,music on demand,chad,airtel,gospel,2,12
english,christian preaching,music on demand,chad,airtel,na,8,399
english,christian preaching,music on demand,zambia,airtel,int,16,329
english,comedy,music on demand,chad,airtel,int,1,3
english,comedy,music on demand,zambia,airtel,int,3,195
english,country,music on demand,chad,airtel,int,16,228
english,country,music on demand,chad,airtel,top,42,917
english,country,music on demand,zambia,airtel,universal,2,2
english,dance,music on demand,chad,airtel,int,56,419
english,dance,music on demand,chad,airtel,na,1,41
english,dance,music on demand,chad,airtel,top,266,17228
english,dance,music on demand,zambia,airtel,int,106,2870
english,dance,music on demand,zambia,airtel,top,3,70
english,dance hall,music on demand,chad,airtel,top,96,5331
english,dance hiphop rap compilation,music on demand,chad,airtel,int,18,116
english,dance lounge & compilation,music on demand,chad,airtel,int,4,84
english,dance rnb,music on demand,chad,airtel,int,22,35
english,dance rnb,music on demand,chad,airtel,na,13,38
english,dance trance,music on demand,chad,airtel,int,11,64
english,did you know,voice alert,zambia,airtel,dyk,793,23790
english,dua,music on demand,chad,airtel,islam,10,112
english,folk,music on demand,chad,airtel,int,4,19
english,french pop,music on demand,chad,airtel,int,1,180
english,french pop,music on demand,chad,airtel,na,6,483
